Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Absolute,UrbanPopulation_Percentage,PopulationDensity
Sierra Leone,62.1,63.9,60.4,4017056,45.5,122
Singapore,84.0,86.5,81.5,0,0.0,387
Slovakia,78.7,81.8,75.4,2955290,54.0,114
Slovenia,81.9,84.6,79.3,1179249,55.7,105
Solomon Islands,70.8,72.3,69.5,190885,22.8,30
Somalia,59.1,61.7,56.6,9168559,46.6,31
South Africa,66.5,70.0,63.0,43112579,66.6,53
South Korea,84.5,87.4,81.4,42587468,82.4,531
South Sudan,57.9,60.9,54.9,3378254,27.7,20
Spain,84.0,86.6,81.3,37995950,79.3,96
Sri Lanka,77.9,80.9,74.7,4193316,18.1,370
St. Vincent & Grenadines,71.5,74.6,68.9,61573,61.6,256
State Of Palestine,73.1,76.9,69.7,4707958,84.2,929
Sudan,66.7,70.0,63.6,18220482,35.3,29
Suriname,73.9,77.1,70.7,399428,62.4,4
Sweden,83.6,85.3,81.8,9309134,87.4,26
Switzerland,84.2,86.1,82.3,6668094,74.4,227
Syria,73.0,75.4,70.6,13735765,53.6,140
Taiwan,80.9,83.9,78.1,19421267,84.0,653
Tajikistan,72.1,74.3,69.8,2987515,27.7,77
Tanzania,67.4,70.2,64.6,28244987,40.0,80
Thailand,76.8,81.2,72.6,38343775,53.5,140
Timor-Leste,68.1,69.9,66.5,510529,36.0,95
Togo,63.1,63.4,62.9,4295574,44.2,179
Tonga,73.2,76.7,69.6,26950,26.0,144
Trinidad And Tobago,73.7,77.0,70.6,741616,49.1,295
Tunisia,76.9,79.5,74.3,8853818,71.7,79
Turkey,77.8,80.8,74.9,67446349,76.9,114
Turkmenistan,70.3,73.2,67.1,3540511,46.5,16
U.S. Virgin Islands,75.9,81.6,70.9,0,0.0,240
Uganda,68.7,71.6,65.7,15430672,30.0,257
Ukraine,74.9,79.5,70.0,29923619,76.8,67
United Arab Emirates,83.2,84.4,82.4,9207088,81.1,136
United Kingdom,81.6,83.4,79.7,58798650,84.5,287
United States,79.6,82.1,77.2,287421363,82.8,38
Uruguay,78.5,82.2,74.6,0,0.0,19
Uzbekistan,72.7,75.7,69.7,17835913,48.1,87
Vanuatu,71.8,74.3,69.7,85244,25.4,27
Venezuela,72.8,76.8,69.1,0,0.0,32
Vietnam,74.9,79.5,70.2,42039428,41.4,328
Western Sahara,71.8,74.0,70.1,583007,97.0,2
Yemen,69.6,71.7,67.5,13801674,33.0,79
Zambia,66.7,69.1,64.3,10256668,46.8,29
Zimbabwe,63.3,65.6,60.8,6429761,37.9,44
